school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
High School for Public Service: Heroes of Tomorrow,Brooklyn,K470,468,454,464,,Brooklyn,K470,468,454,464,
High School for Service and Learning at Erasmus,Brooklyn,K465,377,382,356,45.5,Brooklyn,K465,377,382,356,45.5
High School for Teaching and the Professions,Bronx,X430,372,361,369,46.5,Bronx,X430,372,361,369,46.5
High School for Violin and Dance,Bronx,X400,363,401,396,31.3,Bronx,X400,363,401,396,31.3
High School for Youth and Community Development at Erasmus,Brooklyn,K465,360,382,359,63.2,Brooklyn,K465,360,382,359,63.2
High School of American Studies at Lehman College,Bronx,X905,669,672,672,91.8,Bronx,X905,669,672,672,91.8
High School of Applied Communication,Queens,Q735,435,437,441,70.9,Queens,Q735,435,437,441,70.9
High School of Arts and Technology,Manhattan,M490,421,428,406,44.4,Manhattan,M490,421,428,406,44.4
High School of Computers and Technology,Bronx,X425,396,399,377,65.6,Bronx,X425,396,399,377,65.6
High School of Economics and Finance,Manhattan,M833,469,442,447,66.8,Manhattan,M833,469,442,447,66.8
