school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,381,401,392,52.6,Manhattan,M088,381,401,392,52.6
Washington Heights Expeditionary Learning School,Manhattan,M143,443,423,434,87.0,Manhattan,M143,443,423,434,87.0
West Bronx Academy for the Future,Bronx,X435,404,383,378,,Bronx,X435,404,383,378,
William Cullen Bryant High School,Queens,Q445,466,424,426,56.9,Queens,Q445,466,424,426,56.9
William E. Grady Career and Technical Education High School,Brooklyn,K620,416,423,387,31.4,Brooklyn,K620,416,423,387,31.4
Williamsburg High School for Architecture and Design,Brooklyn,K650,415,424,407,60.1,Brooklyn,K650,415,424,407,60.1
Williamsburg Preparatory School,Brooklyn,K650,443,440,430,87.8,Brooklyn,K650,443,440,430,87.8
Wings Academy,Bronx,X879,379,372,373,49.2,Bronx,X879,379,372,373,49.2
Women's Academy of Excellence,Bronx,X174,386,390,389,45.2,Bronx,X174,386,390,389,45.2
World Academy for Total Community Health High School,Brooklyn,K435,380,389,384,40.9,Brooklyn,K435,380,389,384,40.9
World Journalism Preparatory (College Board),Queens,Q025,484,491,487,89.2,Queens,Q025,484,491,487,89.2
York Early College Academy,Queens,Q008,496,481,473,92.9,Queens,Q008,496,481,473,92.9
Young Women's Leadership School,Manhattan,M895,478,465,472,100.0,Manhattan,M895,478,465,472,100.0
Young Women's Leadership School in Astoria,Queens,Q739,483,464,477,,Queens,Q739,483,464,477,
Young Women's Leadership School in Queens,Queens,Q680,415,420,433,90.4,Queens,Q680,415,420,433,90.4
